Property,Issue,Date,,,,
30 Hillside Avenue,Other Problem Properties,Sep-16,,,,
30 Hillside Avenue,Other Problem Properties,Oct-16,,,,
30 Hillside Avenue,Other Problem Properties,Nov-16,,,,
30 Hillside Avenue,Other Problem Properties,Jan-17,,,,
30 Hillside Avenue,Other Problem Properties,Feb-17,,,,
31 Library Street,New Problem Properties,Jul-15,,,,
31 Library Street,Occupied Problem Properties,Aug-15,,,,
320 Revere Beach Parkway,Other Problem Properties,Jul-16,,,,
320 Revere Beach Parkway,Other Problem Properties,Sep-16,,,,
320 Revere Beach Parkway,Other Problem Properties,Oct-16,,,,
33/35 Cherry Street,New Business,Apr-16,,,,
360 Revere Beach Parkway,New Problem Properties ,Oct-15,,,,
360 Revere Beach Parkway,Nuisance Properties Program,Dec-15,,,,
360 Revere Beach Parkway,Nuisance Properties Program,Jan-16,,,,
360 Revere Beach Parkway,Other Problem Properties,Mar-16,,,,
360 Revere Beach Parkway,Other Problem Properties,Apr-16,,,,
360 Revere Beach Parkway ,Nuisance Properties Program ,Nov-15,,,,
36-38-40 Orange Street,Tax Title or Receivership,Dec-15,,,,
36-38-40 Orange Street,Tax Title or Receivership,Jan-16,,,,
36-38-40 Orange Street,Tax Title or Receivership,Feb-16,,,,
36-38-40 Orange Street,Tax Title or Receivership,Mar-16,,,,
37 Heard Street,With AG,Jan-15,,,,
37 Heard Street,With AG,Feb-15,,,,
37 Heard Street,With AG,Apr-15,,,,
37 Heard Street,With AG,Jul-15,,,,
37 Heard Street,Receivership Properties ,Aug-15,,,,
37 Heard Street,With AG,Oct-15,,,,
37 Heard Street,With AG,Nov-15,,,,
37 Heard Street,With AG,Dec-15,,,,
37 Heard Street,With AG,Jan-16,,,,
37 Heard Street,With AG,Feb-16,,,,
39 Willard Street,Occupied Problem Properties,Nov-15,,,,
39 Willard Street,Tax Title or Receivership,Dec-15,,,,
39 Willard Street,Tax Title or Receivership,Jan-16,,,,
39 Willard Street,Tax Title or Receivership,Feb-16,,,,
39 Willard Street,Tax Title or Receivership,Mar-16,,,,
39 Willard Street,Tax Title or Receivership,Apr-16,,,,
39 Willard Street,Tax Title or Receivership,May-16,,,,
39 Willard Street,Tax Title or Receivership,Jun-16,,,,
39 Willard Street,Tax Title or Receivership,Jul-16,,,,
43 Orange Street,2015 Auction Properties,Dec-15,,,,
43 Orange Street,2015-2016 Auction Properties,Feb-16,,,,
45 Eden Street,Administrative Warrant Properties,Mar-17,,,,
50 Division,In House,Jan-15,,,,
50 Division Street,In House,Apr-15,,,,
50 Division Street,Vacant Problem Properties,Jul-15,,,,
50 Division Street,Vacant Problem Properties,Aug-15,,,,
50 Division Street,Vacant Problem Properties,Oct-15,,,,
50 Division Street,With AG,Nov-15,,,,
50 Division Street,With AG,Dec-15,,,,
50 Division Street,Other Problem Properties,Jul-16,,,,
50 Division Street,Other Problem Properties,Sep-16,,,,
50 Division Street,Other Problem Properties,Oct-16,,,,
50 Division Street,Other Problem Properties,Nov-16,,,,
50 Division Street,Other Problem Properties,Jan-17,,,,
50 Division Street,With AG,Feb-17,,,,
50 Division Street,With AG,Mar-17,,,,
50 Division Street ,With AG,Jan-16,,,,
52 Chester Avenue,In House,Jan-15,,,,
